part;var;de;en
admin;common;"Allgemein";"Common"
admin;eula;"EULA";"EULA"
admin;eula_text;"EULA";"EULA"
admin_form;button_cancel;"Abbrechen";"Cancel"
admin_form;button_save;"Speichern";"Save"
admin_form;title;"Einstellungen";"Settings"
admin;mail;"E-Mail";"E-Mail"
admin;mail_moved;"Mailtext beim Verschieben in Bibliothek";"Mailbody on move to Library"
admin;mail_new_request;"Mailtext bei neuem Antrag";"Mailbody for New Request"
admin;mail_rejected;"Mailtext abgelehnter Antrag";"Mailbody for rejected Requests"
admin;mail_textes;"Mail-Texte";"Mail texts"
admin;mail_uploaded;"Mailtext bei hochgeladener Datei";"Mailbody for Uploaded Files"
admin;max_digilits;"Maximale Anzahl DigiLits im Kurs";"Max amount of DigiLits in a course"
admin;own_library_only;"Nur eigene Bibliothek anzeigen";"Show own Library only"
admin;permission;"Admin-Rollen";"Admin-Roles"
admin;permission_manager;"Manager-Rollen";"Manager-Roles"
admin;placeholders;"Platzhalter";"Placeholders"
admin;regex;"Regulärer Ausdruck";"Regular Expression"
admin;regex_info;"Mit Anfangs- und Schlusszeichen (bspw. /([0-9]{5}-[0-9]{2})/uim)";"With Delimiter (e.g. /([0-9]{5}-[0-9]{2})/uim)"
admin;use_libraries;"Mehrere Bibliotheken verwenden";"Use mutliple Libraries"
admin;use_regex;"Regulären Audruck für DigiLit-ID verwenden";"User Regular Expression für DigiLit-ID"
admin;use_regex_info;"Regex-Suche nach String in Kurs-Titel, der erste Treffer wird verwendet.";"Regex-Search in Course-Title, the first match will be used"
common;actions;"Aktionen";"Actions"
common;bool_0;"Nein";"No"
common;bool_1;"Ja";"Yes"
common;cmd_delete;"L̦schen";"Delete"
crs;create_xdgl;"DigiLits erstellen";""
filter;librarian;"Bearbeiter/in";"Librarian"
filter;library;"Bibliothek";"Library"
filter;mine;"Mir zugewiesen";"Only assigned to me"
filter;none;"Niemandem zugewiesen";"Nobody is assigned"
filter;status;"Status";"Status"
fold;create_xdgl;"DigiLits erstellen";""
form;usr_placeholder;"Benutzer suchen";"Search Users"
grp;create_xdgl;"DigiLits erstellen";""
librarian;already_assigned;"Bereits einer Bibliothek zugewiesen";"Already assigned to a library"
librarian;back;"Zurück";"Back"
librarian;form_title;"Bearbeiter/in";"Librarian"
librarian;has_sets;"Hat zugeordnete Anträge";"Has assigned requests"
librarian;none;"Keine";"none"
librarian;return;"Zurück zur Übersicht";"Back to Overview"
librarian;select;"Bearbeiter/in auswählen";"Select Librarian"
librarian;update_assignements;"Speichern";"Save"
librarian;users;"Benutzeraccounts";"User-Accounts"
library;actions;"Aktionen";"Actions"
library;add;"Bibliothek hinzufügen";"Add Library"
library;assign;"Bearbeiter/innen zuordnen";"Assign Librarians"
library;back;"Zurück";"Back"
library;cancel;"Abbrechen";"Cancel"
library;create;"Erstellen";"Create"
library;delete;"Löschen";"Delete"
library;description;"Beschreibung";"Description"
library;edit;"Bearbeiten";"Edit"
library;email;"E-Mailadresse";"E-Mail"
library;form_title;"Bibliothek";"Library"
library;librarian_count;"Anzahl zugewiesener Bearbeiter/innen";"Amount of Librarians"
library;perform_assignment;"Bibliothek zuordnen";"Assign Library"
library;request_count;"Anzahl zugewiesener Requests";"Amount of Requests"
library;select;"Bibliothek auswählen";"Select Library"
library;title;"Name";"Name"
library;active;"Aktiv";"Active"
library;update;"Speichern";"Save"
library;view;"Details";"Details"
main_menu;button;"DigiLit-Admin";"DigiLit-Admin"
msg;confirm_delete_library;"Möchten Sie die folgende Bibliothek wirklich löschen?";"Do you really want to delete the following library?"
msg;request_delete_file;"Möchten Sie das PDF zum angezeigten Eintrag löschen?";"Do you want to delete the current PDF?"
msg;request_file_deleted;"Datei wurde gelöscht";"File has been deleted"
msg;success_add;"Erfolgreich gespeichert";"Saved"
msg;success_edit;"Erfolgreich gespeichert";"Saved"
msg;success_upload;"Datei hochgeladen";"File uploaded"
notification_subject;mail_new_request;"Neuer DigiLit-Antrag";"New DigiLit-Request"
notification_subject;mail_rejected;"DigiLit-Antrag abgelehnt";"DigiLit-Request rejected"
notification_subject;mail_uploaded;"DigiLit hochgeladen";"DigiLit uploaded"
notification_subject;mail_moved;"DigiLit verschoben";"DigiLit moved"
obj;list_page;"Seite(n)";"Page(s)"
obj;xdgl;"DigiLit";"DigiLit"
obj;xdgl_admin_title;"DigiLit Administration";"DigiLit Administration"
obj;xdgl_edit;"Antragsdaten bearbeiten";"Edit request data"
obj;xdgl_title;"DigiLit beantragen";"Request DigiLit"
obj;xdgls;"DigiLits";"DigiLits"
objs;xdgl;"DigiLits";""
replace;title;"Dokument ersetzen";"Replace File"
request;assign;"Bibliothek zuordnen";"Assign Library"
request;assigned_librarian;"Zugewiesene/r Bearbeiter/in";"Assigned Librarian"
request;assigned_library;"Zugewiesene Bibliothek";"Assigned Library"
request;author;"Autor des Artikels";"Author of Article"
request;book;"Zeitschrift/Buch";"Journal/Book"
request;cancel;"Abbrechen";"Cancel"
request;change_status_to_wip;"Antrag zur Bearbeitung sperren";"Lock Request"
request;confirm_eula;"Nutzungsvereinbarung";"EULA"
request;confirm_eula_show;"Anzeigen";"Show"
request;confirm_eula_title;"Ich akzeptiere die Nutzungsvereinbarung";"I accept the EULA"
request;confirm_eula_warning;"Bitte lesen und akzeptieren Sie die Nutzungsvereinbarung";"Please read and accept the EULA"
request;count;"Anzahl DigiLits im Kurs";"Amount of DigiLits in this Course"
request;course_name;"Kurs-Nummer/Kurs-Titel";"Course-Number/Course-Title"
request;create;"Antrag stellen";"Send Request"
request;create_date;"Bestelldatum";"Order date"
request;creation_date;"Anfragedatum";"Request Date"
request;date_last_status_change;"Letzte Änderung";"Last change"
request;delete_file;"PDF löschen";"Delete PDF"
request;download_file;"PDF herunterladen";"Download PDF"
request;edit;"Metadaten bearbeiten";"Edit Metadata"
request;edition_relevant;"Nur diese Auflage";"This edition only"
request;editor;"Autor/Herausgeber";"Editor"
request;ext_id;"ID";"ID"
request;internal_notice;"Interne Bemerkungen";"Internal Notice"
request;issn;"ISSN/ISBN";"ISSN/ISBN"
request;last_status_change;"Letzte Bearbeitung";"Last update"
request;last_status_update;"Letzter Statuswechsel";"Last Change"
request;location;"Ort";"Location"
request;metadata;"Metadaten";"Metadata"
request;modified_by;"Bearbeiter(in)";"Editor"
request;notice;"Bemerkungen";"Notice"
request;pages;"Seiten";"Pages"
request;publisher;"Verlag";"Publisher"
request;publishing_year;"Jahr";"Year"
request;refuse;"Ablehnen";"Refuse"
request;refuse_reason;"Grund";"Reason"
request;refusing_date;"Abgelehnt am";"Refused"
request;replace_file;"PDF ersetzen";"Replace PDF"
request;requester_fullname;"Antragsteller";"Requester"
request;requester_mailto;"E-Mail";"E-Mail"
request;status;"Status";"Status"
request;status_-1;"Gelöscht";"Deleted"
request;status_1;"Neu";"New"
request;status_2;"In Bearbeitung";"In Progress"
request;status_3;"Dokument vorhanden";"File available"
request;status_4;"Antrag abgelehnt";"Request refused"
request;status_5;"Kopiert";"Copied"
request;title;"Artikeltitel";"Title of Article"
request;update;"Speichern";"Save"
request;upload_date;"Hochgeladen";"Uploaded"
request;view;"Anzeigen";"View"
request;volume;"Band/Heft";"Jahrgang"
status;no_access_to_download;"Aufgrund rechtlicher Restriktionen kann dieses DigiLit nicht heruntergeladen werden";"Due to legal restrictions you are not allowed to download this DigiLit"
tab;content;"Antragsverwaltung";"Requests"
tab;libraries;"Bibliotheken";"Libraries"
tab;requests;"Bestellungen verwalten";"Manage Requests"
tab;settings;"Einstellungen";"Settings"
upload;cancel;"Abbrechen";"Cancel"
upload;file;"Datei";"File"
upload;replace;"Ersetzen";"Replace"
upload;save;"Hochladen";"Upload"
upload;title;"PDF hochladen";"Upload PDF"
validation_failure;4_digits_required;"Format YYYY";"Format YYYY"
validation_failure;digits_only;"Nur Zahlen erlaubt";" Digits only"
xdgl;delete;"Löschen";"Delete"
xdgl;edit_permission;"Rechte einstellen";"Edit permission"
xdgl;icon;"Icon";"Icon"
xdgl;read;"Herunterladen";"Download"
xdgl;visible;"Sichtbar";"Visible"
xdgl;write;"Bearbeiten";"Edit"